Designator,Mid X,Mid Y,Layer,Rotation
C1,58.000000,-24.000000,top,0.000000
C2,22.000000,-14.000000,top,0.000000
C3,50.000000,-14.000000,top,0.000000
D1,8.000000,-22.000000,top,0.000000
D2,38.000000,-35.000000,top,0.000000
D3,58.000000,-12.000000,top,0.000000
F1,8.000000,-5.000000,top,0.000000
H1,3.000000,-3.000000,top,0.000000
H2,62.000000,-3.000000,top,0.000000
H3,3.000000,-42.000000,top,0.000000
H4,62.000000,-42.000000,top,0.000000
J1,5.000000,-38.000000,top,0.000000
J2,60.000000,-38.000000,top,0.000000
J3,8.000000,-14.000000,top,0.000000
J4,32.000000,-5.000000,top,0.000000
Q1,58.000000,-35.000000,top,0.000000
R1,30.000000,-14.000000,top,0.000000
R2,20.000000,-35.000000,top,0.000000
R3,33.000000,-35.000000,top,0.000000
R4,48.000000,-35.000000,top,0.000000
R5,42.000000,-14.000000,top,0.000000
R6,42.000000,-18.000000,top,0.000000
R7,46.000000,-14.000000,top,0.000000
SW1,25.000000,-40.000000,top,0.000000
SW2,38.000000,-40.000000,top,0.000000
U1,22.000000,-24.000000,top,0.000000
U2,50.000000,-24.000000,top,0.000000
U3,8.000000,-8.000000,top,0.000000
